SUBJECT(1:35); TRIAL(1:89); SETSIZE(0:1000); SERPOS(0:1000); TRTYPE(0:1000); REP(0:1000); ANSAC(0:2); ANSSE(0:1000); ANSRT(0:32767); RECALLAC(0:2); RECALLRT(0:32767); HAND(0:1000)
15 84 3 3 2 1 1 2 670 1 1317 1
15 85 6 1 1 1 0 2 633 1 4446 1
15 86 4 1 1 2 1 1 660 1 1733 1
15 87 4 4 2 1 1 2 610 1 1793 1
15 88 5 5 1 2 1 1 683 1 2390 1
29 1 3 2 1 2 1 1 1083 1 1770 1
29 2 1 1 2 1 1 2 561 1 906 1
29 3 5 4 1 2 1 1 731 1 2731 1
29 4 4 3 2 1 1 2 754 1 2675 1
29 5 6 1 1 1 1 1 625 1 2280 1
29 6 6 5 2 2 1 2 629 1 1885 1
29 7 5 2 2 1 1 2 686 1 2185 1
29 8 3 2 1 1 1 1 556 1 1136 1
29 9 3 1 2 1 1 2 486 1 1227 1
29 10 5 5 1 1 1 1 683 1 3012 1
29 11 5 4 2 1 1 2 650 1 2509 1
29 12 2 2 2 2 1 2 554 1 1087 1
29 13 6 5 1 1 1 1 595 1 3638 1
29 14 5 3 1 1 1 1 1370 0 7110 1
29 15 4 3 2 1 1 2 563 1 1779 1
29 16 6 6 1 1 1 1 676 1 2150 1
29 17 1 1 1 2 1 1 474 1 859 1
29 18 6 2 1 2 1 1 874 0 4006 1
29 19 5 3 1 2 1 1 642 1 1913 1
29 20 3 3 2 2 1 2 675 1 1216 1
29 21 3 3 1 2 1 1 576 1 2091 1
29 22 5 2 1 2 1 1 1147 1 2372 1
29 23 6 6 2 2 1 2 624 1 2109 1
29 24 4 1 1 1 1 1 616 1 1550 1
29 25 6 3 1 2 1 1 636 1 2150 1
29 26 4 1 2 2 1 2 654 1 3672 1
29 27 6 5 1 2 1 1 795 0 2426 1
29 28 4 2 1 1 1 1 664 1 1702 1
29 29 5 4 2 2 1 2 785 1 2094 1
29 30 4 2 2 1 1 2 655 1 1651 1
29 31 2 1 1 1 1 1 591 1 1456 1
29 32 6 4 2 2 1 2 726 1 6326 1
29 33 6 1 2 1 1 2 668 1 2211 1
29 34 6 2 2 2 1 2 717 1 2178 1
29 35 3 1 1 2 1 1 624 1 1328 1
29 36 4 3 1 2 1 1 665 1 1829 1
29 37 4 3 1 1 1 1 661 1 1597 1
29 38 3 1 1 1 1 1 673 1 1183 1
29 39 6 4 1 1 1 1 626 1 2743 1
29 40 4 2 2 2 1 2 753 1 1603 1
29 41 2 1 2 2 1 2 513 1 1267 1
29 42 5 2 2 2 1 2 687 1 2850 1
29 43 6 3 2 2 1 2 628 1 3338 1
29 44 5 4 1 2 1 1 691 1 1768 1
29 45 6 5 2 1 1 2 581 1 2501 1
29 46 5 4 1 1 1 1 694 1 1877 1
29 47 4 1 2 1 1 2 657 1 1913 1
29 48 2 2 1 1 1 1 687 1 1123 1
29 49 6 2 2 1 1 2 805 1 2420 1
29 50 3 2 1 2 1 1 680 1 1357 1
29 51 5 1 2 2 1 2 733 1 4094 1
29 52 5 1 2 1 1 2 645 1 3611 1
29 53 6 4 2 1 1 2 677 1 3272 1
29 54 4 4 1 1 1 1 710 1 1621 1
29 55 6 6 2 1 1 2 818 0 7460 1
29 56 5 2 1 1 1 1 586 1 1586 1
29 57 4 1 1 2 1 1 568 1 1632 1
29 58 6 2 1 1 1 1 722 1 2684 1
29 59 3 2 2 1 1 2 629 1 1726 1
29 60 5 5 2 1 1 2 644 1 3672 1
29 61 5 1 1 2 1 1 874 1 3412 1
29 62 6 3 1 1 1 1 669 1 2475 1
29 63 5 3 2 1 1 2 913 1 3726 1
29 64 6 3 2 1 1 2 729 1 3283 1
29 65 2 1 1 2 1 1 680 1 1399 1
29 66 2 2 2 1 1 2 687 0 2719 1
29 67 4 3 2 2 1 2 2115 1 3802 1
29 68 3 1 2 2 1 2 811 1 1511 1
29 69 6 1 2 2 1 2 989 1 2491 1
29 70 3 3 1 1 1 1 688 1 1412 1
29 71 2 2 1 2 1 1 554 1 1100 1
29 72 4 2 1 2 1 1 889 1 3008 1
29 73 3 2 2 2 1 2 988 1 3611 1
29 74 1 1 2 2 1 2 524 1 1003 1
29 75 4 4 1 2 1 1 846 1 1733 1
29 76 5 1 1 1 1 1 684 1 3144 1
29 77 2 1 2 1 1 2 649 1 1004 1
29 78 5 5 1 2 1 1 467 0 1333 1
29 79 6 6 1 2 1 1 636 1 1880 1
29 80 5 5 2 2 1 2 685 1 2625 1
29 81 1 1 2 1 1 2 696 1 868 1
29 82 6 1 1 2 1 1 699 1 2577 1
